;Accuracy;AUC;F1-Score
RandomForest ;0.7906316536550745;0.6961184737399572;0.556390977443609
BestModelStacking;0.8026969481902059;0.7120152936009713;0.5825825825825826
SVM;0.7892122072391767;0.695152290165078;0.5547226386806596
